STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/1/2013,0,50,-38.6,-28.4,-41.7
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/2/2013,0,50,-31.9,-27.8,-35.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/3/2013,0,50,-28.8,-26.9,-31
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/4/2013,0,50,-30.6,-27.4,-35.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/5/2013,0,50,-30.4,-28.9,-36.3
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/6/2013,0,50,-34.6,-28.3,-36.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/7/2013,0,50,-33.3,-29.3,-35.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/8/2013,0,60,-27.8,-23.4,-29.3
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/9/2013,0,60,-24.2,-23,-29.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/10/2013,,70,-30.8,-27.4,-39.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/11/2013,,70,-37.5,-32.7,-39.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/12/2013,,80,-27.2,-21.4,-33.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/13/2013,,10,-21.8,-20.8,-31
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/14/2013,0,,-32.6,-30.7,-36.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/15/2013,0,,-35.6,-33.9,-37
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/16/2013,,,-35.2,-32.4,-36.9
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/17/2013,,,-34.8,-32.3,-36.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/18/2013,,10,-34.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/19/2013,,,-33.2,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/20/2013,,,-33.3,-31.8,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/21/2013,,,-34.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/22/2013,,,-24.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/23/2013,,10,-22.7,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/24/2013,,10,-24.3,-22.3,-29.9
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/25/2013,,10,-29.1,-26.4,-35.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/26/2013,,10,-33.6,-31.5,-36.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/27/2013,0,10,-35.6,-33.5,-38.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,2/28/2013,,10,-36.2,-34.5,-39.2
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/1/2013,,10,-37.9,-31.4,-40.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/2/2013,,,-27.7,-18.9,-31.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/3/2013,,10,-18.1,-15.6,-21.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/4/2013,,10,-20.5,-18.6,-23.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/5/2013,,10,-19.8,-16.7,-21.9
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/6/2013,,10,-20.4,-18.4,-24.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/7/2013,,,-19.9,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/8/2013,,,-15.6,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/9/2013,,10,-22.6,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/10/2013,,10,-28.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/11/2013,,10,-31.7,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/12/2013,,10,-31.3,-26,-34.7
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/13/2013,,10,-28.1,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/14/2013,,10,-28.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/15/2013,,10,-25.6,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/16/2013,,10,-18.7,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/17/2013,,,-13.1,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/18/2013,,10,-10.9,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/19/2013,,,-11.7,-9.1,-14
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/20/2013,,10,-13.8,-10,-25.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/21/2013,0,10,-24.3,-23.1,-28.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/22/2013,0,,-22.5,-17.4,-25.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/23/2013,,10,-20.6,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/24/2013,,10,-19.3,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/25/2013,,10,-13.6,-10.6,-19.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/26/2013,0,10,-13.9,-12.5,-15.4
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/27/2013,,10,-14.3,-12.8,-24.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/28/2013,0.6,,-19.1,-14.4,-24.7
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/29/2013,,40,-21.1,-18.6,-28.1
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/30/2013,0,40,-24.9,-19.1,-30.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,3/31/2013,,20,-24.6,,
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,4/1/2013,0,20,-28,-23.4,-33.6
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,4/2/2013,0,30,-29.4,-24.7,-35.3
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,4/3/2013,0,30,-30.9,-24.3,-36.5
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,4/4/2013,0,30,-22.6,-16.7,-26.8
CA002400404,"ARCTIC BAY CS, NU CA",73,-85.0167,10,4/5/2013,0,30,-16.2,-9.1,-21.1
