band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.024052570923231542,6.0,0.0,0.0006305637070909144,0.024683134630322456,0.0059005898555497364,0.002559214072701345,21,50033,20120726_225846_r2_scwa__hh,2012-07-26,208
1.0,0.12192337115993725,6.0,0.0,0.0008400688529945909,0.1227634400129318,0.022983739932268658,0.014834460834365635,5,50002,20120318_225043_r2_scwa__hx,2012-03-18,78
2.0,0.01719786241301335,6.0,0.0,0.00027241915813647205,0.017470281571149826,0.0031195847744784544,0.001815158725829961,5,50002,20120318_225043_r2_scwa__hx,2012-03-18,78
1.0,0.1282476639607921,6.0,0.0,0.00042997242417186493,0.128677636384964,0.020407586696926307,0.01145873826365428,11,50055,20120720_223340_r2_scwa__hh,2012-07-20,202
1.0,0.1331041265511885,6.0,0.0,0.0017073046183213594,0.1348114311695099,0.022079782171187896,0.013562705787238078,3,50041,20120325_224633_r2_scwa__hx,2012-03-25,85
2.0,0.017619830905459818,6.0,0.0,0.00017025752458721402,0.01779008843004704,0.003111467255869347,0.0017456477895288803,3,50041,20120325_224633_r2_scwa__hx,2012-03-25,85
1.0,0.026158903798204847,6.0,0.0,0.00020333651627879587,0.02636224031448364,0.004599975365290652,0.0031935439164958975,9,50023,20120715_231947_r2_scwa__hh,2012-07-15,197
1.0,0.042885461298283196,6.0,0.0,0.0005200976156629622,0.04340555891394615,0.008361999273568146,0.0052314645930740256,9,50006,20120719_230257_r2_scwa__hh,2012-07-19,201
1.0,0.10889545222744344,6.0,0.0,0.002717217896133661,0.11161267012357713,0.02657232572275703,0.012552732852126415,21,50039,20120422_222913_r2_scwa__hx,2012-04-22,113
2.0,0.008391694689635187,6.0,0.0,0.000223116425331682,0.00861481111496687,0.0024155799797533294,0.0009204719502912224,21,50039,20120422_222913_r2_scwa__hx,2012-04-22,113
1.0,0.13784836506238207,6.0,0.0,0.0005515637458302081,0.13839992880821228,0.016089519890471842,0.011940212923821266,7,50062,20120331_231122_r2_scwa__hx,2012-03-31,91
2.0,0.025123346131294966,6.0,0.0,0.00029305974021553993,0.025416405871510502,0.0026684548827692373,0.0015935022479339673,7,50062,20120331_231122_r2_scwa__hx,2012-03-31,91
1.0,0.058473308919928975,6.0,0.0,0.0005700724432244897,0.059043381363153465,0.010475648901102653,0.00688568480068182,,12,20120722_231534_r2_scwa__hh,2012-07-22,204
1.0,0.033147596172057085,6.0,0.0,0.0009000893915072083,0.0340476855635643,0.009216713211731488,0.003990126146462306,25,50036,20120325_224633_r2_scwa__hx,2012-03-25,85
2.0,0.004800711176358163,6.0,0.0,0.0002645530039444566,0.005065264180302621,0.001677846784374355,0.0006241787090908313,25,50036,20120325_224633_r2_scwa__hx,2012-03-25,85
1.0,0.1479768066201359,6.0,0.0,0.0014516504015773533,0.14942845702171326,0.023821704259671138,0.014693222050847025,5,50027,20120401_224209_r2_scwa__hx,2012-04-01,92
2.0,0.01797562482533976,6.0,0.0,0.00035925750853493815,0.018334882333874702,0.0026593834473983315,0.001529677806611418,5,50027,20120401_224209_r2_scwa__hx,2012-04-01,92
1.0,0.12825852062087506,6.0,0.0,0.001597246271558106,0.12985576689243314,0.02117685307425882,0.01210668136634736,3,50027,20120401_224209_r2_scwa__hx,2012-04-01,92
2.0,0.013795397768262772,6.0,0.0,0.000347412598785013,0.014142810367047785,0.0026811906057229405,0.0012930744994814692,3,50027,20120401_224209_r2_scwa__hx,2012-04-01,92
1.0,0.04870317573659122,6.0,0.0,0.0013793103862553835,0.0500824861228466,0.011869007999131825,0.005184061068372891,17,50063,20120428_225406_r2_scwa__hx,2012-04-28,119
2.0,0.0054419694643002,6.0,0.0,0.00030697209876962006,0.005748941563069821,0.001806036026040876,0.0006858786712306776,17,50063,20120428_225406_r2_scwa__hx,2012-04-28,119
1.0,0.15809118933975694,6.0,0.0,0.004075316712260246,0.1621665060520172,0.0416555143286552,0.018723264944396995,17,50012,20120703_222947_r2_scwa__hh,2012-07-03,185
1.0,0.1784803986083716,6.0,0.0,0.002490851329639554,0.1809712499380112,0.026969322486608122,0.016159232870425932,9,50040,20120422_222913_r2_scwa__hx,2012-04-22,113
2.0,0.011125174321932718,6.0,0.0,0.00034722223062999547,0.011472396552562712,0.0026106647706464455,0.0011585307203854304,9,50040,20120422_222913_r2_scwa__hx,2012-04-22,113
1.0,0.41583811375312507,6.0,0.0,0.002012738259509206,0.4178508520126343,0.06850161696025145,0.04024984990490326,1,50042,20120309_221322_r2_scwa__hx,2012-03-09,69
2.0,0.12206302492995745,6.0,0.0,0.00041546762804500764,0.12247849255800247,0.006743902947779868,0.005144695231489066,1,50042,20120309_221322_r2_scwa__hx,2012-03-09,69
1.0,0.0332428723340854,6.0,0.0,0.0008526310557499527,0.034095503389835365,0.006976321618189167,0.003820726354304937,13,50036,20120324_231553_r2_scwa__hx,2012-03-24,84
2.0,0.006610498268855736,6.0,0.0,0.00034239099477417767,0.0069528892636299125,0.0020330662534450363,0.0007779633738913725,13,50036,20120324_231553_r2_scwa__hx,2012-03-24,84
1.0,0.08041728951502591,6.0,0.0,0.0012318202061578634,0.08164910972118376,0.011045640564886808,0.006161818206617053,13,50028,20120304_225853_r2_scwa__hx,2012-03-04,64
