band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.26454922935226927,6.0,0.0,0.0009454748942516744,0.26549470424652094,0.0505465834246864,0.032252988215989514,7,60014,20130421_221217_r2_scwa__hx,2013-04-21,111
2.0,0.015859231032663956,6.0,0.0,0.0003025572223123163,0.016161788254976273,0.003268801531701765,0.001726203933670446,7,60014,20130421_221217_r2_scwa__hx,2013-04-21,111
1.0,0.16967471176758409,6.0,0.0,0.0014179474674165249,0.1710926592350006,0.027083754310379446,0.017411262179819992,7,60081,20130217_225043_r2_scwa__hx,2013-02-17,48
2.0,0.0393327555138967,6.0,0.0,0.00010890080739045517,0.03944165632128716,0.0032847643748255438,0.0028516628527065864,7,60081,20130217_225043_r2_scwa__hx,2013-02-17,48
1.0,0.05510466219857335,6.0,0.0,0.0016472856514155865,0.05675194784998894,0.012806586634895627,0.005419673391247658,21,60005,20130707_230728_r2_scwa__hx,2013-07-07,188
2.0,0.00801504825358279,6.0,0.0,0.00040507732774131,0.008420125581324099,0.002760302731454379,0.0010731971273147721,21,60005,20130707_230728_r2_scwa__hx,2013-07-07,188
1.0,0.18717113882303238,6.0,0.0,0.0036021247506141663,0.19077326357364652,0.04075373439491674,0.02137627720579467,25,60007,20130729_222503_r2_scwa__hx,2013-07-29,210
2.0,0.012197276169899853,6.0,0.0,0.00029504339909181,0.012492319568991663,0.0024091870996400685,0.001226885099127247,25,60007,20130729_222503_r2_scwa__hx,2013-07-29,210
1.0,0.06664812407689169,6.0,0.0,0.00026473560137674207,0.06691285967826842,0.009290436120265977,0.008060100213432562,1,60052,20130726_221221_r2_scwa__hx,2013-07-26,207
2.0,0.004166924947639927,6.0,0.0,0.00014854353503324094,0.004315468482673168,0.0014498444702658357,0.0005460076660652128,1,60052,20130726_221221_r2_scwa__hx,2013-07-26,207
1.0,0.00914212534553371,6.0,0.0,0.0001451844873372465,0.00928730983287096,0.0016043975052318286,0.0011354793706330256,7,60016,20130725_224204_r2_scwa__hx,2013-07-25,206
2.0,0.0037929312675260007,6.0,0.0,0.00014617113629356027,0.003939102403819561,0.0011732148896531997,0.00043407769956197996,7,60016,20130725_224204_r2_scwa__hx,2013-07-25,206
1.0,0.09652502369135617,6.0,0.0,0.004248698242008686,0.10077372193336487,0.03058655571853323,0.01267177920062113,21,60053,20130708_223818_r2_scwa__hx,2013-07-08,189
2.0,0.010827838006662205,6.0,0.0,0.00047087899292819197,0.011298716999590397,0.0032908328293220334,0.0013228250957661853,21,60053,20130708_223818_r2_scwa__hx,2013-07-08,189
1.0,0.14865200500935316,6.0,0.0,0.0020360471680760384,0.15068805217742917,0.025954506350294063,0.015176960354372274,9,60024,20130601_221659_r2_scwa__hx,2013-06-01,152
2.0,0.007053181761875749,6.0,0.0,0.0002667333465069533,0.007319915108382702,0.002086204518371638,0.0008289473794259232,9,60024,20130601_221659_r2_scwa__hx,2013-06-01,152
1.0,0.14984854497015476,6.0,0.0,0.004732197150588036,0.15458074212074277,0.03750679832257357,0.01577489421656841,17,60056,20130708_223818_r2_scwa__hx,2013-07-08,189
2.0,0.014344513707328588,6.0,0.0,0.000572515360545367,0.014917029067873957,0.003824718155987258,0.0016408001136161818,17,60056,20130708_223818_r2_scwa__hx,2013-07-08,189
1.0,0.01557257247623056,6.0,0.0,0.0005228609079495072,0.01609543338418007,0.0045246363768930535,0.001885686727100345,13,60033,20130728_225436_r2_scwa__hx,2013-07-28,209
2.0,0.0036838899395661437,6.0,0.0,0.0002107050240738317,0.003894594963639975,0.0013077526597993169,0.0004976969350269644,13,60033,20130728_225436_r2_scwa__hx,2013-07-28,209
1.0,1.314184531569481,6.0,0.0,0.025784626603126522,1.3399691581726074,0.3982220431662843,0.16361779945340904,3,60005,20130615_220844_r2_scwa__hx,2013-06-15,166
2.0,0.0052656551415566355,6.0,0.0,0.00018568508676253256,0.005451340228319169,0.0018672693267537445,0.0007280175532092454,3,60005,20130615_220844_r2_scwa__hx,2013-06-15,166
1.0,0.13114958256483078,6.0,0.0,0.0008784905076026915,0.13202807307243344,0.02133710041654792,0.013288084612865424,7,60054,20130223_231533_r2_scwa__hx,2013-02-23,54
2.0,0.024366121666389517,6.0,0.0,0.00021849207405466584,0.024584613740444183,0.003089996364364432,0.00193318782990678,7,60054,20130223_231533_r2_scwa__hx,2013-02-23,54
1.0,0.027699912723619487,6.0,0.0,0.0006592266145162283,0.02835913933813572,0.006615065487392062,0.0027841789731017125,9,60054,20130710_232004_r2_scwa__hx,2013-07-10,191
2.0,0.005064454569946975,6.0,0.0,0.00024653534637764096,0.005310989916324616,0.0017415991801262652,0.0006660607572334562,9,60054,20130710_232004_r2_scwa__hx,2013-07-10,191
1.0,0.745001371949911,6.0,0.0,0.03400212898850441,0.7790035009384155,0.2245521199364622,0.09124280795974002,5,60025,20130601_221659_r2_scwa__hx,2013-06-01,152
2.0,0.006431909801904112,6.0,0.0,0.0003753736964426935,0.006807283498346806,0.0022322878193305564,0.0008519960717378356,5,60025,20130601_221659_r2_scwa__hx,2013-06-01,152
1.0,0.08706725551746786,6.0,0.0,0.0023061020765453573,0.0893733575940132,0.020498268928080536,0.008863657881329817,13,60037,20130610_225459_r2_scwa__hx,2013-06-10,161
2.0,0.00946653657592833,6.0,0.0,0.0005181094165891409,0.009984645992517471,0.0030361655922041876,0.0012433642780617401,13,60037,20130610_225459_r2_scwa__hx,2013-06-10,161
1.0,0.13048631174024194,6.0,0.0,0.0015675254398956893,0.13205383718013763,0.020060958447627408,0.013308463189965774,5,60036,20130316_230304_r2_scwa__hx,2013-03-16,75
2.0,0.018178389611421153,6.0,0.0,0.00035737155121751135,0.01853576116263866,0.0027940512004651975,0.0012842647018759768,5,60036,20130316_230304_r2_scwa__hx,2013-03-16,75
1.0,0.15214003901928666,6.0,0.0,0.0004840763285756111,0.15262411534786224,0.010846227034107002,0.007818387909366785,9,60058,20130326_231147_r2_scwa__hx,2013-03-26,85
